# Phase, Flux
-1.273621976969234737e-01,-1.633895473240887242e+01
-1.270775732018742943e-01,-4.442233057111444339e+01
-1.268425679180439358e-01,-8.084878750636015354e+01
-1.265047258363405369e-01,8.954246806247567747e+00
-1.261672310061278113e-01,-7.615395179472184850e+01
-1.259941775265295272e-01,-2.272502963696076961e+01
-1.259306382869116447e-01,-1.128152171215868123e+02
-1.256474805406960771e-01,1.215492863271272483e+01
-1.252887404348494993e-01,-1.455154739848918410e+01
-1.250247792545138292e-01,7.165457206603775830e+01
-1.247757795134883940e-01,3.952851266642021244e+01
-1.244286782558444715e-01,-2.709522463917313218e+01
-1.241030018228459486e-01,-2.785895902324142526e+01
-1.239609577532797546e-01,-3.513440925173583196e+01
-1.238750274561906117e-01,-2.969519793971642230e+01
-1.235727268236964660e-01,-4.557249252423734021e+01
-1.232168013799855855e-01,2.098546536388745665e+01
-1.229759564870468447e-01,2.232988965200632947e+01
-1.227067765477207750e-01,-5.869217169041096582e+01
-1.223528424321208563e-01,-5.989485292356988566e+01
-1.220418349682748094e-01,3.335114845048892107e+01
-1.218156879292928707e-01,1.959466164414003231e+01
-1.214973126624973032e-01,2.480566567109043774e+01
-1.211466985376948857e-01,1.838444132551408927e+01
-1.209311319243759897e-01,-4.739454874203019585e+01
-1.206355860456437279e-01,8.430203562559412944e+00
-1.202777096260739809e-01,2.864410929337424250e+01
-1.199836245640278909e-01,-1.658200588827707378e+01
-1.197532757079684540e-01,4.257944410213099218e+01
-1.194212628607762561e-01,2.579102374578035040e+01
-1.190786636557736866e-01,1.320900682499903667e+01
-1.188908027506718756e-01,2.150118280308532803e+01
-1.188353413655588442e-01,-7.309715426317976039e+01
-1.185627129657149670e-01,-6.232182753695969524e+01
-1.182036085789869295e-01,1.647699136797520225e+01
-1.179290510453289142e-01,-1.137521695637744301e+01
-1.176878141150786705e-01,-2.076811230389274954e+01
-1.173449972300371069e-01,2.907453149791905389e+01
-1.170131624510400981e-01,6.363909532236533551e+01
-1.168551388896382770e-01,-8.529739207463471473e+01
-1.167815778535353788e-01,-1.225057265785700622e+02
-1.164886615259838054e-01,-1.115213734503850418e+01
-1.161308643301016685e-01,2.503655154750816791e+00
-1.158780736897216945e-01,5.599886696128208996e+00
-1.156198851115437520e-01,-4.322537970147255493e+01
-1.152690918079337656e-01,-1.187392450241464559e+01
-1.149503367116825325e-01,5.660803689799820404e+01
